Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9329.96,111959.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,128.88,1546.56,USD,,"Data transfer out to internet (1 TB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (100 per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,3634.2400000000002,43610.88,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (r5.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,3737.6,44851.20,USD,,"Aurora MySQL Cluster Configuration Option (Aurora Standard), Change records per statement (0.38), Instance Type (db.r5.4xlarge), Nodes (2), Utilization (100 %Utilized/Month), Instance Family (Memory optimized), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,VPN Connection,0,521,6252.00,USD,,"Working days per month (30), Number of subnet associations (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Public IPv4 Address,0,3.65,43.80,USD,,Number of In-use public IPv4 addresses (1)
My Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,1.25,15.00,USD,,S3 Standard-IA storage (100 GB per month)
My Estimate,US East (N. Virginia),,S3 Glacier Deep Archive,0,0.01,0.12,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (10 GB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1200.85,14410.20,USD,,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
